1.1.7-9	01c1	υιου θεου
1.4.1	01c2	om.
1.5.15	01c2	και
1.8.14,16	01c2	υμας
1.8.14-16	01c2	βαπτισει υμας
1.11.3,5,9	01c2	εγενετο
1.11.3-6,8-9	01c2	φωνη εγενετο εκ ουνων
1.15.1-2	01c1V	λεγων
1.19.4-5	01c2	ολιγον εκειθεν
1.21.12,16	01c2	εδιδασκεν
1.24.2	01c2	εα
1.25.7	01c1	λεγων
1.28.8-9	01c2	ευθυς πανταχου
1.28.17	01c2	γαλιλαιας
1.32.24-26	01c2	και τους δαιμονιζομενους
1.32.25	01c2	τους
1.33.2-3,5-9	01c2	ην ολη πολις επισυνηγμενη
1.33.3,6	01c2	ολη
1.33.5	01c2	πολις
1.33.8	01c2	επισυνηγμενη
1.33.10-13	01c2	προς την θυραν
1.34.2	01c2	εθεραπευσε
1.34.3	01c2	πολλους
1.34.9-10	01c2	κακως εχοντας
1.34.9-10,12-13	01c2	κακως εχοντας ποικιλαις νοσοις
1.34.34-40	01c2	αυτον τον χν ειναι
1.39.3	01c2	κηρυσσων
1.40.12	01c2	και
2.5.14	01c2	om.
2.12.46	01c2a	ειδομεν
2.12.49-51	01c2b	εν τω ιηλ
2.12.49-51	01c2b	om.
2.13.3	01c2	εξηλθε
2.13.8-10	01c2	παρα την θαλασσαν
2.13.17	01c2	αυτον
2.14.9	01c2	λευιν
2.22.50	01c1	βλητεον
3.8.9	01c2	και
3.8.10	01c2	απο
3.8.12	01c2	ιδουμαιας
3.8.20	01c2	και
3.11.28	01c1	λεγοντα
3.11.28	01c2	λεγοντες
3.20.2	01c2	ερχονται
3.20.12	01c2	ο
3.26.13	01c2	και
3.32.4,7	01c2	περι
4.3.7-8	01c2	του σπειραι
4.5.6-7	01c2	το πετρωδες
4.7.2	01c2a	αλλο
4.8.2	01c2a	αλλο
4.8.2	01c2b	αλλα
4.9.4-5	01c2	ο εχων
4.19.24,26	01c2	περι λοιπα
4.19.30	01c1	συμπνιγουσι
4.19.31-32	01c1	τον λογον
4.21.13	01c2	ινα
4.21.14,16	01c2	υπο μοδιον
4.21.17	01c2	τεθη
4.28.13	01c2	ειτα
4.28.14	01c2	σταχυν
4.29.6	01c2	παραδω
4.30.3	01c1	αυτοις
4.31.8	01c2	ος
4.31.15	01c2	om.
4.37.4,7	01c2	μεγαλη
4.37.16-17	01c1	ωστε
4.37.18-21,23-24	01c1	ηδη γεμιζεσθαι πλοιον
4.37.18,23	01c1	πλοιον
4.37.21	01c1	γεμιζεσθαι
4.40.2	01c2a	ελεγεν
4.40.2	01c2b	ειπεν
4.41.28	01c2a	ανεμοι
4.41.28	01c2b	ανεμος
4.41.32-34	01c2	υπακουουσιν αυτω
4.41.33	01c2	υπακουει
5.1.2	01c2	ηλθεν
5.1.15	01c2	γεργεσηνων
5.4.2-4	01c2	δια το
5.4.43	01c2	δαμασαι
5.9.18,25	01c2	λεγεων
5.11.4-6,11-13,16-18	01c1	προς τω ορει
5.11.4-6,11-13,16-18	01c2	προς τω ορει
5.11.6,9,13-14,18	01c1	ορει χοιρων βοσκομενη
5.11.6,9,13-14,18	01c2	ορει χοιρων βοσκομενη
5.11.14	01c2	βοσκομενων
5.14.23	01c2	ηλθον
5.15.2	01c1	ερχονται
5.15.35	01c2	λεγεωνα
5.21.16,23	01c2	παλιν
5.21.16,21,23	01c2	παλιν περαν
5.21.18,21	01c2	εις περαν
5.27.5	01c2	om.
5.33.14	01c1	om.
5.36.8	01c1	παρακουσας
5.36.8	01c2a	ακουσας
5.36.8	01c2b	παρακουσας
6.2.59	01c2	αι
6.2.60	01c2	τοιαυται
6.2.61	01c2	αι
6.4.20,23	01c2	αυτου
6.4.20	01c2	ιδια
6.4.21	01c2	πατριδι
6.4.22	01c2	om.
6.4.27	01c1	συγγενεσι
6.4.28	01c1	om.
6.7.25	01c1	εξουσιαν
6.7.27	01c1	om.
6.7.28	01c1	των
6.7.29,31-32	01c1	πνων ακαθαρτων
6.7.30	01c1	των
6.8.2	01c1	παρηγγειλεν
6.8.3	01c1	αυτοις
6.12.7	01c1	om.
6.16.18	01c1	αυτος
6.16.14,17	01c2	ιωαννην
6.16.14-15,17	01c2	ιωαννην ουτος
6.17.1	01c2a	ο
6.17.2	01c2a	γαρ
6.17.2	01c2b	γαρ
6.17.3	01c2a	om.
6.17.3	01c2b	ο
6.22.2-3	01c2	εισελθουσης
6.25.5	01c2	εισελθουσα
6.30.18	01c2	οσα
6.31.12,17	01c2	επ
6.34.27-28	01c2	ως προβατα
6.35.13-14	01c2	αυτω
6.35.17	01c2b	om.
6.38.24	01c2	γνοντες
6.41.28	01c2	και
6.41.35	01c2	παραθωσιν
6.55.12	01c2	επι
7.2.4	01c2	τινας
7.5.29	01c2	ανιτοις
7.15.11-12	01c2	εις αυτον
7.18.4	01c2	ουτως
7.24.28	01c2	λαθειν
7.28.20	01c1	υποκατω
7.32.18	01c2	χειρα
7.33.13,22	01c2	εβαλε
7.34.10	01c2a	εφεθθα
7.34.10	01c2b	εφφαθα
8.7.14	01c1	ειπε
8.7.15	01c1	και
8.7.16	01c1	ταυτα
8.7.20	01c1	παρατιθεναι
8.10.20-21	01c2	om.
8.17.6-7,10	01c2	λεγει
8.18.7	01c1	και
8.22.2	01c2	ερχονται
8.24.5	01c2	ελεγε
8.25.29	01c2	ενεβλεψε
8.25.31	01c2	τηλαυγως
8.26.3	01c2	αυτον
8.26.5	01c2	τον
8.26.18-19	01c2	μηδε
8.27.31	01c1	αυτοις
8.27.31	01c2a	om.
8.27.31	01c2b	αυτοις
8.28.9	01c2	om.
8.36.4-5	01c2	ανον
9.7.29-31	01c1	εν ω ηυδοκησα
9.9.21-22	01c1	ει μη
9.12.20	01c2	πρωτος
9.12.21	01c2	αποκαθιστανει
9.13.5	01c2	οτι
9.13.15-16	01c2	εν αυτω
9.14.22-23	01c2	προς αυτους
9.16.9-10	01c1	προς αυτους
9.16.9-10	01c2	προς εαυτους
9.18.2-3	01c2	οπου εαν
9.21.16-17	01c2	εξ ου
9.23.15	01c2	δυνασαι
9.24.1	01c2	om.
9.24.2	01c2	ευθυς
9.25.36	01c2	εγω
9.26.12	01c2a	om.
9.26.12	01c2b	αυτον
9.29.23-25	01c2	και νηστεια
9.39.9	01c2a	ειπω ενα
9.39.9	01c2b	ειπεν
9.41.18	01c2	om.
9.41.21	01c2	χυ
9.42.13	01c2	των
9.43.34	01c2	απελθειν
9.43.43,48	01c2a	om.
9.43.43,48	01c2b	εις ασβεστον
9.43.44	01c2b	το
9.43.47	01c2b	το
9.43.48	01c2b	ασβεστον
9.47.25,29,32	01c2	εισελθειν βασιλειαν
9.47.29-31	01c2	βασιλειαν του θυ
9.50.12	01c2	αλας
9.50.31	01c2	αλας
10.19.14-16	01c1	μη μοιχευσης
10.19.47	01c2	om.
10.23.8,12	01c2	λεγει
10.25.12	01c2	τρυμαλιας
10.27.9	01c2	λεγει
10.29.43,46	01c2	ενεκεν εμου
10.29.47	01c2	και
10.30.17	01c1	οικιας
10.30.17	01c2	οικιας
10.30.20-25	01c1	και αδελφους και αδελφας
10.30.20-25	01c2	και αδελφους και αδελφας
10.30.26-31	01c1	και μρα
10.30.26-31	01c2	και μρα και πρα
10.30.32-33	01c1	om.
10.30.32-33	01c2	om.
10.30.34-35	01c1	και τεκνα
10.30.34-35	01c2	και τεκνα
10.30.36-37	01c1	om.
10.30.36-37	01c2	om.
10.30.38-39	01c1	om.
10.30.38-39	01c2	και αγρους
10.30.41	01c1	om.
10.30.41	01c2	διωγμων
10.33.16,18	01c2	και γραμματευσι
10.33.17	01c2	τοις
10.34.5	01c2	εμπτυσουσιν
10.35.2	01c2	προσπορευονται
10.35.22	01c2	ινα
10.35.23-25	01c2	ο εαν
10.35.28,30	01c2	σε
10.35.28-30	01c2	αιτησωμεν σε
10.35.29	01c2	αιτησωμεν
10.35.32	01c2	ποιησης
10.35.33	01c2	ημιν
10.36.1-6	01c2a	ο δε
10.36.1-6	01c2bVVV	ο δε
10.36.7	01c2a	ειπεν
10.36.7	01c2bVVV	ειπεν
10.36.8	01c2a	αυτοις
10.36.8	01c2bVVV	αυτοις
10.36.9-10	01c2a	τι θελετε
10.36.9-10	01c2bVVV	τι θελετε
10.36.11	01c2a	om.
10.36.11	01c2bVVV	om.
10.36.12-14	01c2a	με ποιησαι
10.36.12-14	01c2bVVV	με ποιησαι
10.36.15	01c2a	υμιν
10.36.15	01c2bVVV	υμιν
10.36.13	01c2a	ποιησαι
10.36.13	01c2bVVV	ποιησω
10.37.1,3	01c2	δε
10.37.2	01c2	οι
10.37.4	01c2	ειπον
10.37.5	01c2	αυτω
10.37.6-7	01c2	δος ημιν
10.40.22-25	01c2a	om.
10.40.22	01c2b	υπο
10.40.22-25	01c2b	υπο του πρς μου
10.42.2	01c2	ο
10.52.1,3,5	01c2a	και
10.52.1,3,5	01c2b	δε
11.2.9	01c2	την
11.2.11	01c2	κατεναντι
11.2.12	01c2	υμων
11.7.2	01c2	φερουσιν
11.7.16-17,22-23	01c2	αυτω
11.7.19	01c2	τα
11.7.21	01c2	εαυτων
11.7.26	01c2	εκαθισεν
11.12.13	01c1	επεινασε
11.15.47,57	01c2	κατεστρεψε
11.15.47,56-57	01c2	περιστερας κατεστρεψε
11.15.49-50	01c2	τας καθεδρας
11.20.3-4,7	01c2	παραπορευομενοι πρωι
11.20.4	01c2	παραπορευομενοι
11.29.23,26,31	01c2	καγω
11.31.4	01c2b	διελογιζοντο
11.32.13	01c2	απαντες
11.32.21,23,26	01c2	οντως
12.2.15,19	01c2	λαβη
12.4.8-9	01c2	αλλον δουλον
12.5.17,20	01c1	αλλους
12.5.29	01c2	αποκτειναντες
12.15.7	01c2	ιδως
12.15.25	01c2	om.
12.19.20,23	01c2a	τεκνον
12.19.20,23	01c2b	τεκνα
12.20.3-4,10-11	01c1	παρ ημιν
12.20.3-4,10-11	01c2	om.
12.20.3-4,8,10-11	01c1	αδελφοι παρ ημιν
12.20.3-4,8,10-11	01c2	αδελφοι
12.20.14	01c1	πρωτος
12.22.14-16	01c2	ουκ αφηκαν σπερμα
12.25.15	01c1	ουτε
12.25.15	01c1	γαμουσιν
12.26.37,45	01c2	ισαακ
12.28.19	01c2	ειδως
12.32.9,13	01c2	ειπας
12.33.36	01c2	της
12.33.56	01c2	om.
12.34.22,24,28	01c1	ει
12.34.22-24,27-28	01c1	μακραν ει βασιλειας
12.34.22-24,27-28	01c2a	μακραν βασιλειας ει
12.34.22-24,27-28	01c2b	μακραν ει βασιλειας
12.34.22,24,28	01c1	ει
12.34.22,24,28	01c2a	ει
12.34.22,24,28	01c2b	ει
12.34.25-27	01c1	απο της βασιλειας
12.34.25-27	01c2a	απο της βασιλειας
12.34.25-27	01c2b	απο της βασιλειας
12.34.32,34-40,42-43	01c2	ουκετι ετολμα αυτον επερωτησαι
12.37.16	01c2	ποθεν
12.41.14	01c2	εθεωρει
12.41.29	01c2	εβαλλον
12.43.30	01c2	εβαλεν
13.1.16	01c1	om.
13.2.44-45	01c2	ου μη
13.2.46	01c2	καταλυθη
13.3.26,30	01c1	ιωανης
13.3.26,30	01c2	ιωαννης
13.7.15	01c1	om.
13.7.15	01c2	ορατε
13.7.17	01c2	θροεισθαι
13.7.19	01c2	γαρ
13.8.7-9	01c2	βασιλεια επι βασιλειαν
13.8.19-21	01c2	κατα τοπους
13.8.22-23	01c2	εσονται
13.8.25-26	01c2	λιμοι
13.9.5	01c2	εαυτους
13.9.28	01c2	σταθησεσθαι
13.10.9-12,15,17-18	01c1	πρωτον δει
13.18.9-11	01c2	η φυγη υμων
14.3.11	01c2	τη
14.3.36	01c2	την
14.4.15-16,19-20	01c2	προς εαυτους
14.7.23,27	01c2	αυτοις
14.7.15,21,24,31	01c2	παντοτε παντοτε
14.10.5	01c2	ο
14.10.7	01c2	ο
14.11.12	01c1	επηγγειλαντο
14.13.9	01c1	αυτου
14.16.14	01c2	και
14.16.15,19	01c2	ηλθον
14.17.5	01c2	γενομενης
14.22.6-7,10-11	01c1	om.
14.22.6-7,10-11	01c2	ο ις
14.31.16-18,20-21,23,26-27	01c2	δεη με συναποθανειν
14.31.32	01c2	ωσαυτως
14.33.3	01c2	τον
14.35.22-24	01c2	δυνατον εστιν
14.38.7	01c2	εισελθητε
14.40.28	01c2	καταβαρυνομενοι
14.43.40	01c1	των
14.45.3-4,6-7	01c2	ελθων προσελθων
14.46.15	01c2	αυτω
14.47.12	01c2	om.
14.61.42	01c2	ευλογητου
14.61.40	01c2	om.
14.70.8	01c2	και
14.72.45	01c2	εκλαιεν
15.4.15	01c2	λεγων
15.6.19	01c2	ονπερ
15.6.21	01c2	ητουντο
15.8.2-3	01c2	αναβοησας
15.10.1	01c2	εγινωσκε
15.14.7	01c2	αυτοις
15.21.2	01c2	αγγαρευουσι
15.22.6-8	01c2	γολγοθα τοπον
15.24.11	01c1	αυτου
15.29.16	01c2a	om.
15.29.16	01c2b	ουα
15.40.29	01c2	ιωσητος
15.43.9	01c2a	αριμαθιας
15.43.9	01c2b	αριμαθαιας
15.43.16	01c2	ος
15.47.1	01c2	η
15.47.3	01c2	μαρια
15.47.5	01c2	η
15.47.7	01c2	και
15.47.10	01c2	μαρια
15.47.11	01c2	η
15.47.17	01c2	ιωσητος
15.47.19	01c2	εθεωρουν
15.47.23	01c2	που
15.47.24	01c2	τεθειται
16.1.1-4	01c2	και
16.1.5-9	01c2	διαγενομενου (του) σαββατου
16.1.11-12	01c2	om.
16.1.18-19	01c2	η του
16.2.13-14	01c2	το μνημειον
16.6.16-20	01c1	 ζητειτε τον ναζαρηνον
16.6.17,20	01c1	ναζαρηνον

